stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
17573,17573,Historic Old Highway 90 & Herbert,,29.416807,-98.596033
91733,91733,Historic Old Highway 90 & SW 42nd,Old Us-90 W & Eldridge Ave,29.420963,-98.586145
91593,91593,Historic Old Highway 90 & SW 41st,Old Us-90 W & Sw 41st St,29.421814,-98.584178
92363,92363,Historic Old Highway 90 & SW 40th,,29.422588,-98.5824
93133,93133,Historic Old Highway 90 & SW 39th,,29.423619,-98.579918
83883,83883,Historic Old Highway 90 & Abshire,,29.424436,-98.577709
84653,84653,Historic Old Highway 90 & SW 37th,Old Us-90 W & Sw 37th St,29.425641,-98.575055
85433,85433,Historic Old Highway 90 & SW 36th,,29.426693,-98.572802
85343,85343,Historic Old Highway 90 Between 36th & Cesar Chavez,,29.427598,-98.570825
76953,76953,Historic Old Highway 90 & SW 34th,,29.429252,-98.56722
77813,77813,Historic Old Highway 90 & Monterey,Old Us-90 W & Sw 34th St,29.429891,-98.565787
77683,77683,Historic Old Highway 90 & San Joaquin,Old Us-90 W & S San Joaquin Ave,29.430949,-98.563243
78583,78583,W. COMMERCE & SAN FELIPE (OFFSET),,29.431261,-98.559432
86883,86883,BUENA VISTA & PECOS,,29.424703,-98.501748
67946,67946,SAN PEDRO BET. HORACE & AUDUBON,San Pedro Ave & Asbury Ln,29.476214,-98.499203
