3853|"545931"|"390466"|"32775492"
3853|"545932"|"390466"|"32775570"
1393|"545924"|"390465"|"32775179"
1393|"545925"|"390465"|"32775257"
1393|"545927"|"390465"|"32775360"
1393|"545930"|"390465"|"32775413"
1393|"545931"|"390465"|"32775491"
1393|"545932"|"390465"|"32775569"
13278|"545924"|"390464"|"32775178"
13278|"545925"|"390464"|"32775256"
13278|"545926"|"390464"|"32775332"
13278|"545930"|"390464"|"32775412"
13278|"545931"|"390464"|"32775490"
13278|"545932"|"390464"|"32775568"
41549|"545924"|"390463"|"32775177"
41549|"545925"|"390463"|"32775255"
41549|"545926"|"390463"|"32775331"
41549|"545930"|"390463"|"32775411"
41549|"545931"|"390463"|"32775489"
41549|"545932"|"390463"|"32775567"
465|"545924"|"390462"|"32775176"
465|"545925"|"390462"|"32775254"
465|"545926"|"390462"|"32775330"
465|"545930"|"390462"|"32775410"
465|"545931"|"390462"|"32775488"
465|"545932"|"390462"|"32775566"
434|"545924"|"390461"|"32775175"
434|"545925"|"390461"|"32775253"
434|"545926"|"390461"|"32775329"
434|"545930"|"390461"|"32775409"
434|"545931"|"390461"|"32775487"
434|"545932"|"390461"|"32775565"
1396|"545924"|"390460"|"32775230"
1396|"545925"|"390460"|"32775308"
1396|"545926"|"390460"|"32775354"
1396|"545930"|"390460"|"32775464"
1396|"545931"|"390460"|"32775542"
1396|"545932"|"390460"|"32775620"
6363|"545924"|"390459"|"32775231"
6363|"545925"|"390459"|"32775309"
6363|"545926"|"390459"|"32775355"
6363|"545930"|"390459"|"32775465"
6363|"545931"|"390459"|"32775543"
6363|"545932"|"390459"|"32775621"
2592|"545924"|"390458"|"32775245"
2592|"545925"|"390458"|"32775323"
2592|"545926"|"390458"|"32775358"
2592|"545930"|"390458"|"32775479"
2592|"545931"|"390458"|"32775557"
2592|"545932"|"390458"|"32775635"
19896|"545924"|"390457"|"32775244"
19896|"545925"|"390457"|"32775322"
19896|"545926"|"390457"|"32775357"
19896|"545930"|"390457"|"32775478"
19896|"545931"|"390457"|"32775556"
19896|"545932"|"390457"|"32775634"
3784|"545924"|"390456"|"32775243"
3784|"545925"|"390456"|"32775321"
3784|"545926"|"390456"|"32775356"
3784|"545930"|"390456"|"32775477"
3784|"545931"|"390456"|"32775555"
3784|"545932"|"390456"|"32775633"
30339|"545924"|"390455"|"32775246"
30339|"545925"|"390455"|"32775324"
30339|"545929"|"390455"|"32775403"
30339|"545930"|"390455"|"32775480"
30339|"545931"|"390455"|"32775558"
30339|"545932"|"390455"|"32775636"
4701|"545924"|"390454"|"32775234"
4701|"545925"|"390454"|"32775312"
4701|"545929"|"390454"|"32775398"
4701|"545930"|"390454"|"32775468"
4701|"545931"|"390454"|"32775546"
4701|"545932"|"390454"|"32775624"
17047|"545924"|"390453"|"32775249"
17047|"545925"|"390453"|"32775327"
17047|"545929"|"390453"|"32775406"
17047|"545930"|"390453"|"32775483"
17047|"545931"|"390453"|"32775561"
17047|"545932"|"390453"|"32775639"
9172|"545924"|"390452"|"32775174"
9172|"545925"|"390452"|"32775252"
9172|"545928"|"390452"|"32775362"
9172|"545930"|"390452"|"32775408"
9172|"545931"|"390452"|"32775486"
9172|"545932"|"390452"|"32775564"
23852|"545924"|"390451"|"32775248"
23852|"545925"|"390451"|"32775326"
23852|"545929"|"390451"|"32775405"
23852|"545930"|"390451"|"32775482"
23852|"545931"|"390451"|"32775560"
23852|"545932"|"390451"|"32775638"
10955|"545924"|"390450"|"32775233"
10955|"545925"|"390450"|"32775311"
10955|"545929"|"390450"|"32775397"
10955|"545930"|"390450"|"32775467"
10955|"545931"|"390450"|"32775545"
10955|"545932"|"390450"|"32775623"
5080|"545924"|"390449"|"32775173"
5080|"545925"|"390449"|"32775251"
5080|"545928"|"390449"|"32775361"
5080|"545930"|"390449"|"32775407"
5080|"545931"|"390449"|"32775485"
5080|"545932"|"390449"|"32775563"
8480|"545924"|"390448"|"32775222"
8480|"545925"|"390448"|"32775300"
8480|"545928"|"390448"|"32775384"
8480|"545930"|"390448"|"32775456"
8480|"545931"|"390448"|"32775534"
8480|"545932"|"390448"|"32775612"
8003|"545924"|"390447"|"32775221"
8003|"545925"|"390447"|"32775299"
8003|"545928"|"390447"|"32775383"
8003|"545930"|"390447"|"32775455"
8003|"545931"|"390447"|"32775533"
8003|"545932"|"390447"|"32775611"
