# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20260101-20260131
# ----------------------------------------

,,,Segment,Is US Portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
https://www.sacrd.org/portal/housingservices/?zipcode=78264&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78264&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=301,guideme,-,8,8
https://www.sacrd.org/portal/westcaretx/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=231,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=231,attribute,231,8,8
https://comalcares.org/portal/housingservices/?zipcode=78130&lat=29.69224&lng=-98.06877&gp=hsp_start,?zipcode=78130&lat=29.69224&lng=-98.06877&gp=hsp_startingpage,guideme,-,7,7
https://sacrd.org/MentalHealth/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,guideme,-,7,7
https://sacrd.org/portal/housingservices/?zipcode=78109&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78109&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,7,7
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_masterselector,guideme,-,7,7
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=303,guideme,-,7,7
https://sacrd.org/portal/housingservices/?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78216&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,7,7
https://sacrd.org/portal/housingservices/?zipcode=78220&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78220&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,7,7
https://sacrd.org/portal/housingservices/?zipcode=78220&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78220&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,7,7
https://sacrd.org/portal/housingservices/?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78227&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,7,7
https://sacrd.org/portal/housingservices/?zipcode=78232&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78232&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,7,7
https://sacrd.org/portal/housingservices/?zipcode=78232&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78232&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,7,7
https://sacrd.org/portal/housingservices/?zipcode=78240&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwi,?zipcode=78240&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=302&nhw=3,guideme,-,7,7
