id,name,portal
873,"Continuing Care Communities",Older Adults
734,"Durable Medical Equipment (DME)",IDD and Disability Support
596,"Emergency Shelter",Hill Country Resources
623,"Exercise and Fitness",Hill Country Resources
562,"Faith-Based",Mental Healthcare Portal
717,"Guardianship & Supported Decision-Making",IDD and Disability Support
280,"Hearing Tests",Big Bend Regional Resource Directory
452,"Hoarding Help & Junk Removal",Housing Services
896,"Home Safety Checks",Older Adults
890,"Homemaking",Older Adults
788,"Intellectual & Developmental Disabilities (IDD)",IDD and Disability Support
822,"Intergenerational Programs",Older Adults
705,"LGBTQ+ Affirming",Substance Use
913,"LGBTQ+ Older Adult",Older Adults
749,"Meal & Nutrition Services",IDD and Disability Support
846,"Medicaid Asset Protection",Older Adults
860,"Medication Disposal",Older Adults
481,"Mother and Child(ren)",Housing Services
906,"Neighborly Help",Older Adults
855,"Nutrition Education",Older Adults
671,"Other Support Groups",Substance Use
764,"Physical Therapy (PT)",IDD and Disability Support
698,"Private Insurance",Substance Use
806,"Private Insurance",IDD and Disability Support
925,"Private Insurance",Older Adults
833,"Probate Assistance",Older Adults
619,"Resource Navigation",Hill Country Resources
817,"Respite Care",Older Adults
580,"Section 8 Vouchers",Housing Services
179,"Sober Living",Housing Finder
839,"Social & Personal Transportation",Older Adults
779,"Social Skills Building",IDD and Disability Support
686,"Spanish",Substance Use
744,"Specialized Childcare",IDD and Disability Support
771,"Supported Independent Living",IDD and Disability Support
739,"Tax Preparation Assistance",IDD and Disability Support
327,"Titles",Housing Services
754,"Transition to Adulthood",IDD and Disability Support
499,"Transitional Housing",Housing Services
635,"Tutoring and Mentoring",Hill Country Resources
318,"Utility Assistance - Water",Housing Services
613,"Veteran Services",Hill Country Resources
441,"Wellness/Welfare Checks",Housing Services
759,"Work Experience Internships",IDD and Disability Support
940,"Estate Cleanout",Older Adults
531,"Residential Treatment",Housing Services
534,"Residential Recovery",Housing Services
171,"Felony",Housing Finder
138,"West",Housing Finder
116,"3BR",Housing Finder
528,"Adult Day Care",Housing Services
563,"American Indian or Alaska Native",Mental Healthcare Portal
597,"Disaster Response",Hill Country Resources
874,"Eviction Prevention",Older Adults
482,"Father with Child(ren)",Housing Services
246,"Fitness Classes",Big Bend Regional Resource Directory
554,"Gender not Listed",Mental Healthcare Portal
718,"Immigration Legal Services",IDD and Disability Support
823,"Lifelong Learning",Older Adults
