# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20251101-20251130
# ----------------------------------------

,,,Segment,Is portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78217&a=302,?gp=hsp_masterselector&zipcode=78217&a=302,guideme,-,7,7
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78229&a=302,?gp=hsp_masterselector&zipcode=78229&a=302,attribute,302,7,7
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78251&a=302,?gp=hsp_masterselector&zipcode=78251&a=302,attribute,302,7,7
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78251&a=302,?gp=hsp_masterselector&zipcode=78251&a=302,guideme,-,7,7
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78240&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78240&a=302&nhw=3,guideme,-,7,7
"https://sacrd.org/portal/housingservices/?gp=mainPage&a=302,304","?gp=mainPage&a=302,304",attribute,304,7,7
https://sacrd.org/portal/housingservices/?gp=mainPage&a=317,?gp=mainPage&a=317,attribute,317,7,7
https://sacrd.org/portal/sadigitalconnects/?gp=mainPage&a=291,?gp=mainPage&a=291,attribute,291,7,7
https://sacrd.org/portal/sadigitalconnects/?gp=mainPage&a=294,?gp=mainPage&a=294,attribute,294,7,7
https://www.comalcares.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78130&a=302,?gp=hsp_masterselector&zipcode=78130&a=302,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_helppayhousing&zipcode=78245&a=302&nhw=3&gr=78,?gp=hsp_helppayhousing&zipcode=78245&a=302&nhw=3&gr=78,attribute,78,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205,?gp=hsp_masterselector&zipcode=78205,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78217&a=302,?gp=hsp_masterselector&zipcode=78217&a=302,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78220&a=302,?gp=hsp_masterselector&zipcode=78220&a=302,attribute,302,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78220&a=302,?gp=hsp_masterselector&zipcode=78220&a=302,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78223&a=302,?gp=hsp_masterselector&zipcode=78223&a=302,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78223&a=303,?gp=hsp_masterselector&zipcode=78223&a=303,attribute,303,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78237&a=303,?gp=hsp_masterselector&zipcode=78237&a=303,attribute,303,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78251&a=302,?gp=hsp_masterselector&zipcode=78251&a=302,attribute,302,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78251&a=302,?gp=hsp_masterselector&zipcode=78251&a=302,guideme,-,7,7
https://www.sacrd.org/portal/housingservices/?gp=hsp_zipcode,?gp=hsp_zipcode,guideme,-,7,7
https://www.sacrd.org/portal/sadigitalconnects/?gp=mainPage&a=291,?gp=mainPage&a=291,attribute,291,7,7
http://localhost:8000/idd/?gp=idd_check_groups,?gp=idd_check_groups,guideme,-,6,6
https://sacrd.org/idd/?gp=idd_check_groups&g=110,?gp=idd_check_groups&g=110,guideme,-,6,6
https://sacrd.org/idd/?gp=idd_check_groups&g=111,?gp=idd_check_groups&g=111,guideme,-,6,6
https://sacrd.org/idd/?gp=idd_details&g=109&a=711,?gp=idd_details&g=109&a=711,attribute,711,6,6
https://sacrd.org/idd/?gp=idd_start#,?gp=idd_start,guideme,-,6,6
https://sacrd.org/idd/?gp=mainPage&zipcode=78230,?gp=mainPage&zipcode=78230,clear,-,6,6
https://sacrd.org/portal/disabilitysupport/?gp=idd_check_groups&g=118,?gp=idd_check_groups&g=118,guideme,-,6,6
