# ----------------------------------------
# SACRD.org v2 - GA4
# Page View Events-Page Views
# 20250901-20250930
# ----------------------------------------

,Segment,Is page view,Totals
Page location,Page referrer,Event count,Event count
https://www.sacrd.org/directory/program/2300,https://www.google.com/,37,37
https://www.sacrd.org/directory/program/350,https://www.google.com/,37,37
https://www.sacrd.org/directory/program/96,https://www.google.com/,37,37
https://www.sacrd.org/es/directory/program/320,https://www.google.com/,37,37
https://www.sacrd.org/portal/mhp/,https://nami-sat.org/,37,37
https://www.sacrd.org/directory/organization/1924,https://www.google.com/,36,36
https://www.sacrd.org/directory/program/11222,,36,36
https://www.sacrd.org/directory/program/18398,https://www.google.com/,36,36
https://www.sacrd.org/directory/program/2581,https://www.google.com/,36,36
https://www.sacrd.org/directory/program/374,https://www.google.com/,36,36
https://www.sacrd.org/directory/subcategory/bereavement-grief,https://www.google.com/,36,36
https://www.sacrd.org/directory/subcategory/personal-care-items,https://www.google.com/,36,36
https://sacrd.org/directory/program/14948,,35,35
https://sacrd.org/directory/program/16012,https://sacrd.org/directory/,35,35
https://www.sacrd.org/directory/,https://mail.google.com/,35,35
https://www.sacrd.org/directory/,https://ntp.msn.com/,35,35
https://www.sacrd.org/directory/,https://www.sacrd.org/directory/contact-us,35,35
https://www.sacrd.org/directory/organization/1077,https://www.google.com/,35,35
https://www.sacrd.org/directory/organization/1778,https://www.google.com/,35,35
https://www.sacrd.org/directory/organization/2107,https://www.bing.com/,35,35
https://www.sacrd.org/directory/program/1117,https://www.google.com/,35,35
https://www.sacrd.org/directory/program/12112,https://www.google.com/,35,35
https://www.sacrd.org/directory/program/17964,https://www.google.com/,35,35
https://www.sacrd.org/directory/program/4069,https://www.google.com/,35,35
https://www.sacrd.org/directory/program/615,https://www.google.com/,35,35
https://www.sacrd.org/directory/program/705,https://www.google.com/,35,35
https://www.sacrd.org/directory/program/8498,https://www.google.com/,35,35
https://www.sacrd.org/directory/subcategory/help-pay-for-utilities?zipcode=78221&page=3,https://www.google.com/,35,35
http://localhost/navigator/collection/2e4fc084-c12d-4c0a-87de-6095eee527df,http://localhost:8000/directory/subscriber?state=collections,34,34
https://sacrd.org/directory/,https://homesa.org/,34,34
https://sacrd.org/directory/subcategory/food-pantry,https://sacrd.org/directory/subcategory/food-pantry,34,34
https://www.sacrd.org/directory/program/10876,https://www.google.com/,34,34
https://www.sacrd.org/directory/program/470,https://www.google.com/,34,34
https://www.sacrd.org/directory/program/9181,https://www.google.com/,34,34
https://www.sacrd.org/directory/program/947,https://www.google.com/,34,34
https://www.sacrd.org/directory/program/9587,,34,34
https://www.sacrd.org/es/directory/,https://www.sacrd.org/directory/,34,34
http://localhost/directory/subcategory/adult-care,http://localhost:8000/directory/,33,33
https://www.sacrd.org/directory/organization/1276,https://www.sacrd.org/directory/organization/1276,33,33
https://www.sacrd.org/directory/organization/1584,,33,33
https://www.sacrd.org/directory/organization/1602,https://www.sacrd.org/directory/organization/1602,33,33
https://www.sacrd.org/directory/program/2685,https://www.google.com/,33,33
https://www.sacrd.org/directory/program/5817,https://www.google.com/,33,33
https://www.sacrd.org/directory/subcategory/help-pay-for-housing?zipcode=78205,,33,33
https://www.sacrd.org/es/directory/subcategory/food-pantry?zipcode=78213,,33,33
https://www.sacrd.org/portal/housingservices/?gp=mainPage,https://www.google.com/,33,33
https://sacrd.org/housingservices/?gp=mainPage&s=78210.%202%20bed%20%20pet%20friendly%20&nfm=2,,32,32
https://www.sacrd.org/directory/contact-us,https://www.google.com/,32,32
https://www.sacrd.org/directory/organization/1323,https://www.google.com/,32,32
https://www.sacrd.org/directory/organization/1378,https://www.google.com/,32,32
https://www.sacrd.org/directory/organization/1473,https://www.google.com/,32,32
https://www.sacrd.org/directory/organization/1576,https://www.google.com/,32,32
https://www.sacrd.org/directory/organization/1804,,32,32
https://www.sacrd.org/directory/organization/2143,https://www.google.com/,32,32
https://www.sacrd.org/directory/program/10691,https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,32,32
https://www.sacrd.org/directory/program/11375,https://www.google.com/,32,32
https://www.sacrd.org/directory/program/14091,https://www.google.com/,32,32
https://www.sacrd.org/directory/program/168,https://www.google.com/,32,32
https://www.sacrd.org/directory/program/2518,https://www.google.com/,32,32
https://www.sacrd.org/directory/program/4481,https://www.google.com/,32,32
https://www.sacrd.org/directory/program/48,https://www.google.com/,32,32
https://www.sacrd.org/directory/program/4856,https://www.google.com/,32,32
https://www.sacrd.org/directory/program/9250,https://www.google.com/,32,32
https://www.sacrd.org/directory/search?s=prescription%20assistance,,32,32
https://www.sacrd.org/directory/subcategory/help-pay-for-housing,,32,32
https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,https://www.sacrd.org/directory/subcategory/help-pay-for-housing,32,32
https://www.sacrd.org/directory/subcategory/help-pay-for-utilities?page=2,https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,32,32
https://www.sacrd.org/portal/housingservices/,https://www.sacrd.org/directory/subcategory/help-pay-for-housing,32,32
https://www.sacrd.org/directory/organization/1297,https://www.google.com/,31,31
https://www.sacrd.org/directory/organization/1571,https://www.google.com/,31,31
https://www.sacrd.org/directory/organization/2360,https://www.google.com/,31,31
https://www.sacrd.org/directory/program/14948,https://www.sacrd.org/directory/subcategory/help-pay-for-housing,31,31
https://www.sacrd.org/directory/program/14961,https://www.google.com/,31,31
https://www.sacrd.org/directory/program/16012,https://www.sacrd.org/directory/program/16012,31,31
https://www.sacrd.org/directory/program/18326,https://www.google.com/,31,31
https://www.sacrd.org/directory/program/465,https://www.google.com/,31,31
https://www.sacrd.org/directory/program/4931,,31,31
https://www.sacrd.org/directory/program/934,https://www.google.com/,31,31
https://www.sacrd.org/directory/subcategory/sober-living,https://www.google.com/,31,31
http://localhost/directory/subscriber?state=collections,http://localhost:8000/navigator/profile,30,30
https://sacrd.org/directory/program/14951,https://sacrd.org/directory/subcategory/help-pay-for-housing,30,30
https://sacrd.org/directory/program/16012,https://sacrd.org/directory/subcategory/help-pay-for-utilities,30,30
https://sacrd.org/directory/program/3747,,30,30
https://sacrd.org/directory/subcategory/emergency-shelter,https://sacrd.org/directory/,30,30
https://sacrd.org/directory/subcategory/help-find-work,https://sacrd.org/directory/,30,30
https://www.sacrd.org/directory/program/10483,https://www.google.com/,30,30
https://www.sacrd.org/directory/program/10691,https://www.sacrd.org/directory/subcategory/tenants-rights,30,30
https://www.sacrd.org/directory/program/11863,https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,30,30
https://www.sacrd.org/directory/program/17993,https://www.google.com/,30,30
https://www.sacrd.org/directory/program/339,https://www.google.com/,30,30
https://www.sacrd.org/es/directory/?utm_source=pocket_card&utm_medium=cards&utm_campaign=pocket_card_spanish,,30,30
http://localhost/directory/,,29,29
https://www.sacrd.org/directory/,https://www.sacrd.org/directory/organization/1982,29,29
https://www.sacrd.org/directory/?zipcode=78207,https://www.sacrd.org/directory/,29,29
https://www.sacrd.org/directory/organization/1267,https://www.google.com/,29,29
https://www.sacrd.org/directory/organization/1335,https://www.sacrd.org/directory/organization/1335,29,29
https://www.sacrd.org/directory/organization/1721,https://www.google.com/,29,29
https://www.sacrd.org/directory/program/10013,https://www.google.com/,29,29
