"ProjectCategory","SMPProjectID","CouncilDistrict","ProjectStreet","StreetFrom","StreetTo","ProjectLimits","FiscalYear","Application","Type_","Force","WeightedPCI","PBaseFail","FieldBasePave","PFlatWork","EstTotalCost","ProjectStatus","ScheduleStart","ScheduleFinish","ActualStart","ActualFinish","ProjectManager","Contact","Shape_Length","Sealant_App","PCI_Factor","ActStart","ActFinish","ActDuration","START","Oday","Odate","Omonth","Ohour","Oyear","Otime"
"Preservation","17800","5","B St","Keck Ave","S Zarzamora","B St From Keck Ave To S Zarzamora",2016,"Slurry Seal - City","Sealant","City",73,0,0,0,5156.26163943775,"No Change",NA,NA,NA,NA,NA,NA,588.091623251389,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17854","2","Paulsun","Belgium","Gembler Rd","Paulsun From Belgium To Gembler Rd",2017,"Slurry Seal - City","Sealant","City",56,0,0,0,18988.0627877405,"Defer2014",NA,NA,NA,NA,NA,NA,1400.75586243781,"Slurry Seal","D (41-60)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17862","1","Scotland","Dresden","Gilbert Ln","Scotland From Dresden To Gilbert Ln",2015,"Crack Seal - City","Sealant","City",82,0,0,0,813.404445604279,"Review Limits",NA,NA,NA,NA,NA,NA,581.001758565278,"Crack Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17869","7","Bethany Place","Babcock Rd","Loma Linda Dr","Bethany Place From Babcock Rd To Loma Linda Dr",2015,"Slurry Seal - City","Sealant","City",36,0,0,0,15328.5396732915,"No Change",NA,NA,NA,NA,NA,NA,765.308222496331,"Slurry Seal","F (0-40)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17888","1","Sadie St","Labor","S Presa St","Sadie St From Labor To S Presa St",2014,"Crack Seal - City","Sealant","City",82,0,0,0,1207.82487680003,"No Change",NA,NA,NA,NA,NA,NA,1104.74835361063,"Crack Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17998","10","Chiselhurst","Bridgeview","Dead End","Chiselhurst  From Bridgeview To Dead End",2016,"Fog Seal - City","Sealant","City",76,0,0,0,1334.24218681772,"Base Budget",NA,NA,NA,NA,NA,NA,286.095449205623,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18005","10","Flamingo Basin","Stoney Summit & Alder Creek Dr","Victory Palm","Flamingo Basin From Stoney Summit & Alder Creek Dr To Victory Palm",2016,"Slurry Seal - City","Sealant","City",83,0,0,0,7441.24349550723,"Base Budget",NA,NA,NA,NA,NA,NA,848.914137526691,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18006","10","Victory Palm","Flamingo Basin","Alder Creek Dr","Victory Palm  From Flamingo Basin To Alder Creek Dr",2016,"Fog Seal - City","Sealant","City",90,0,0,0,3430.44328805221,"Base Budget",NA,NA,NA,NA,NA,NA,685.678759279125,"Fog Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18043","9","Mt Marcy","Mt Vieja","Sunflower","Mt Marcy  From Mt Vieja To Sunflower",2014,"Fog Seal - City","Sealant","City",100,0,0,0,11191.1968816694,"Change AP from 9 to 25",NA,NA,NA,NA,NA,NA,980.338746391876,"Fog Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","18100","10","Lost Crk","Judson Rd","Oak Rock","Lost Crk From Judson Rd To Oak Rock",2017,"Fog Seal - City","Sealant","City",70,0,0,0,3114.33868625367,"Base Budget",NA,NA,NA,NA,NA,NA,483.105722904003,"Fog Seal","C (61-70)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
